date,distillate_inventory_mbbls,jetfuel_inventory_mbbls,distillate_spot_price,jetfuel_spot_price
2021-05-07,134419,40640,,
2021-05-14,132095,41457,,
2021-05-21,129082,42216,,
2021-05-28,132802,42277,,
2021-06-04,137214,43960,,
2021-06-11,136191,45240,,
2021-06-18,137945,44866,,
2021-06-25,137076,44706,,
2021-07-02,138692,45091,,
2021-07-09,142349,44390,,
2021-07-16,141000,44974,,
2021-07-23,137912,45053,,
2021-07-30,138744,43298,,
2021-08-06,140511,42899,,
2021-08-13,137814,42993,,
2021-08-20,138459,44443,,
2021-08-27,136727,42436,,
2021-09-03,133586,41764,,
2021-09-10,131897,42199,,
2021-09-17,129343,42377,,
2021-09-24,129727,42609,,
2021-10-01,129331,41291,,
2021-10-08,129307,41408,,
2021-10-15,125394,41005,,
2021-10-22,124962,41391,,
2021-10-29,127122,39642,,
2021-11-05,124509,37897,,
2021-11-12,123685,37983,,
2021-11-19,121717,37494,,
2021-11-26,123877,36072,,
2021-12-03,126610,36716,,
2021-12-10,123758,35608,,
2021-12-17,124154,35403,,
2021-12-24,122428,34589,,
2021-12-31,126846,34957,,
2022-01-07,129383,34453,,
2022-01-14,127952,34664,,
2022-01-21,125154,36968,,
2022-01-28,122744,37288,,
2022-02-04,121814,38361,,
2022-02-11,120262,37692,,
2022-02-18,119678,37847,,
2022-02-25,119104,38188,,
2022-03-04,113874,39163,,
2022-03-11,114206,38768,,
2022-03-18,112135,36356,,
2022-03-25,113530,36082,,
2022-04-01,114301,35384,,
2022-04-08,111399,34903,,
2022-04-15,108735,35351,,
2022-04-22,107286,35820,,
2022-04-29,104942,36178,,
2022-05-06,104029,38321,,
2022-05-13,105264,38331,,
2022-05-20,106921,39087,,
2022-05-27,106392,39589,,
2022-06-03,108984,40257,,
2022-06-10,109709,40611,,
2022-06-17,109842,40661,,
2022-06-24,112401,41417,,
2022-07-01,111135,39931,,
2022-07-08,113803,41344,,
2022-07-15,112508,39861,,
2022-07-22,111724,40137,,
2022-07-29,109324,41631,,
2022-08-05,111490,40665,,
2022-08-12,112256,40084,,
2022-08-19,111594,39650,,
2022-08-26,111706,38567,,
2022-09-02,111801,38722,,
2022-09-09,116020,39201,,
2022-09-16,117250,39186,,
2022-09-23,114359,36750,,
2022-09-30,110916,36213,,
2022-10-07,106063,36069,,
2022-10-14,106187,36227,,
2022-10-21,106357,36057,,
2022-10-28,106784,36394,,
2022-11-04,106263,36975,,
2022-11-11,107383,37279,,
2022-11-18,109101,37430,,
2022-11-25,112648,36258,,
2022-12-02,118807,37972,,
2022-12-09,120171,36487,,
2022-12-16,119929,36498,,
2022-12-23,120212,36276,,
2022-12-30,118785,34131,,
2023-01-06,117716,33904,,
2023-01-13,115777,34356,,
2023-01-20,115270,35504,,
2023-01-27,117590,35471,,
2023-02-03,120522,35818,,
2023-02-10,119237,36532,,
2023-02-17,121935,37291,,
2023-02-24,122114,37551,,
2023-03-03,122252,37248,,
2023-03-10,119715,36711,,
2023-03-17,116402,36840,,
2023-03-24,116683,38249,,
2023-03-31,113051,38021,,
2023-04-07,112445,38977,,
2023-04-14,112090,39891,,
2023-04-21,111513,40782,,
2023-04-28,110323,41605,,
2023-05-05,106153,39886,,
2023-05-12,106233,41602,,
2023-05-19,105672,42577,,
2023-05-26,106657,41441,,
2023-06-02,111731,42332,,
2023-06-09,113854,42337,,
2023-06-16,114288,40910,,
2023-06-23,114411,41093,,
2023-06-30,113366,41358,,
2023-07-07,118181,41797,,
2023-07-14,118194,42377,,
2023-07-21,117949,41258,,
2023-07-28,117153,41081,,
2023-08-04,115447,41224,,
2023-08-11,115743,41342,,
2023-08-18,116688,41788,,
2023-08-25,117923,41065,,
2023-09-01,118602,42007,,
2023-09-08,122533,41290,,
2023-09-15,119666,42326,,
2023-09-22,120064,42985,,
2023-09-29,118795,42662,,
2023-10-06,116958,42935,,
2023-10-13,113773,43061,,
2023-10-20,112087,41769,,
2023-10-27,111295,40470,,
2023-11-03,108001,38854,,
2023-11-10,106579,36720,,
2023-11-17,105561,37248,,
2023-11-24,110778,36631,,
2023-12-01,112045,37953,,
2023-12-08,113539,36845,,
2023-12-15,115024,39270,,
2023-12-22,115765,37693,,
2023-12-29,125855,39698,,
2024-01-05,132383,39316,,
2024-01-12,134753,40921,,
2024-01-19,133336,41862,,
2024-01-26,130795,41148,,
2024-02-02,127574,40894,,
2024-02-09,125659,40961,,
2024-02-16,121651,41104,,
2024-02-23,121141,40031,,
2024-03-01,117010,40090,,
2024-03-08,117898,40563,,
2024-03-15,118522,40447,,
2024-03-22,117337,41192,,
2024-03-29,116069,40855,,
2024-04-05,117728,41189,,
2024-04-12,114968,42227,,
2024-04-19,116582,40966,,
2024-04-26,115850,40357,,
2024-05-03,116410,41258,,
2024-05-10,116365,41365,,
2024-05-17,116744,42505,,
2024-05-24,119288,42677,,
2024-05-31,122485,43065,,
2024-06-07,123366,42003,,
2024-06-14,121640,41947,,
2024-06-21,121263,43878,,
2024-06-28,119728,43301,,
2024-07-05,124612,44461,,
2024-07-12,128066,46759,,
2024-07-19,125313,46875,,
2024-07-26,126847,47180,,
2024-08-02,127796,46100,,
2024-08-09,126123,46241,,
2024-08-16,122811,46829,,
2024-08-23,123086,47576,,
2024-08-30,122715,46761,,
2024-09-06,125023,47990,,
2024-09-13,125148,47448,,
2024-09-20,122921,46344,,
2024-09-27,121637,45643,,
2024-10-04,118513,44069,,
2024-10-11,114979,42846,,
2024-10-18,113839,43475,,
2024-10-25,112862,43153,,
2024-11-01,115809,42925,,
2024-11-08,114415,42211,,
2024-11-15,114301,42866,,
2024-11-22,114717,42500,,
2024-11-29,118100,41656,,
2024-12-06,121335,41907,,
2024-12-13,118155,41332,,
2024-12-20,116461,40707,,
2024-12-27,122867,41181,,
2025-01-03,128938,41626,,
2025-01-10,132015,43698,,
2025-01-17,128945,43785,,
2025-01-24,123951,43520,,
2025-01-31,118480,42348,,
2025-02-07,118615,43260,,
2025-02-14,116564,43939,,
2025-02-21,120472,44614,,
2025-02-28,119154,45228,,
2025-03-07,117595,44147,,
2025-03-14,114783,43173,,
2025-03-21,114362,44313,,
2025-03-28,114626,42861,,
2025-04-04,111082,40924,,
2025-04-11,109231,39819,,
2025-04-18,106878,39640,,
2025-04-25,107815,41148,,
2025-05-02,106708,40034,1.966,1.946
2025-05-09,103553,41647,1.92,1.875
2025-05-16,104132,42109,2.061,2.002
2025-05-23,103408,42716,2.025,1.962
2025-05-30,107638,43654,1.958,1.881
2025-06-06,108884,43399,1.992,1.929
2025-06-13,109398,44428,2.118,2.036
2025-06-20,105332,44520,2.393,2.3
2025-06-27,103622,45151,2.221,2.135
2025-07-04,102797,44242,2.27,2.19
2025-07-11,106970,44809,2.328,2.248
2025-07-18,109901,45499,2.323,2.243
2025-07-25,113536,43394,2.344,2.289
2025-08-01,112971,44364,2.307,2.186
2025-08-08,113685,43744,2.171,2.019
2025-08-15,116028,43296,2.151,1.999
2025-08-22,114242,43589,2.187,2.031
2025-08-29,115923,42793,2.199,2.045
2025-09-05,120638,43267,2.238,2.086
2025-09-12,124684,43899,2.212,2.059
2025-09-19,122999,44951,2.248,2.095
2025-09-26,123577,44339,2.275,2.12
2025-10-03,121559,44268,2.194,2.049
2025-10-10,117030,44414,2.161,2.148
2025-10-17,115551,42929,2.084,2.086
2025-10-24,112189,41420,2.196,2.179
2025-10-31,111546,41697,2.313,2.266
2025-11-07,110909,42816,2.354,2.284
2025-11-14,111080,42962,2.399,2.307
2025-11-21,112227,43332,2.473,2.342
2025-11-28,114286,43945,2.259,2.072
2025-12-05,116788,42569,2.23,2.064
2025-12-12,118500,43576,2.161,1.99
2025-12-19,118702,44892,2.051,1.882
2025-12-26,123679,43981,2.054,1.95
2026-01-02,129273,44028,2.006,1.908
2026-01-09,129244,43136,1.986,1.873
2026-01-16,132592,42348,2.077,2.015
2026-01-23,132921,43044,2.163,2.095
2026-01-30,127368,42383,2.255,2.184
2026-02-06,124665,42732,2.193,2.12
2026-02-13,120099,43778,2.229,2.154
2026-02-20,120351,42338,2.427,2.317
2026-02-27,120780,42090,2.579,2.469
2026-03-06,119431,41245,3.213,3.103
2026-03-13,116904,43623,3.588,3.478
2026-03-20,119936,44294,4.148,4.038
2026-03-27,117825,43990,4.119,4.009
2026-04-03,114681,43343,4.183,4.073
2026-04-10,111559,42514,3.942,3.925
2026-04-17,108132,43705,3.594,3.709
2026-04-24,103638,44166,3.754,3.906
